movie_id,movie_name,year,genre_new1
18296435,Aaah Belinda,1986,['Comedy']
21926710,White on Rice,2009,['Comedy']
11448183,Bindiya Chamkegi,1984,['Comedy']
26067101,Siam Sunset,1999,['Comedy']
9548445,Archie: To Riverdale and Back Again,1990,['Comedy']
25960460,Daddy and Them,2001,['Comedy']
261237,The Gods Must Be Crazy,1980,['Comedy']
12053509,Loverboy,1989,['Comedy']
2647998,The Human Tornado,1976,['Comedy']
7028314,The Little Hut,1957,['Comedy']
2659373,The Iron Maiden,1963,['Comedy']
3873713,Lee Dae-ro Can't Die,2005,['Comedy']
11717027,Is There a Doctor in the Mouse?,nan,['Comedy']
18902861,14 Going on 30,nan,['Comedy']
20204625,Grampy's Indoor Outing,1936,['Comedy']
9169526,Las Boludas,1993,['Comedy']
1031231,"Black Cat, White Cat",1998,['Comedy']
336846,Grease,1978,['Comedy']
5384210,Gagamboy,2004,['Comedy']
4459059,Trial and Error,1997,['Comedy']
413207,Taxi,1998,['Comedy']
3681139,Necessary Roughness,1991,['Comedy']
5685826,The Aviary,2005,['Comedy']
14739568,Hula-La-La,1951,['Comedy']
2608958,Nothing to Lose,1997,['Comedy']
6273971,"The Prophet, the Gold and the Transylvanians",1978,['Comedy']
20904045,Chala Murari Hero Banne,1977,['Comedy']
6170621,Herod's Law,1999,['Comedy']
3883051,National Lampoon's Class Reunion,1982,['Comedy']
33519683,Chick Magnet,2011,['Comedy']
1858682,Monkey Business,1952,['Comedy']
19168185,9 Dead Gay Guys,2003,['Comedy']
9124011,Dayman Ma`ak,nan,['Comedy']
18620635,The Impatient Patient,1942,['Comedy']
20634623,George and Mildred,1980,['Comedy']
4783144,Suburban Girl,2007,['Comedy']
15858518,Anbe Vaa,1966,['Comedy']
10366326,God's Gift to Women,1931,['Comedy']
1924820,The Seinfeld Chronicles,1989,['Comedy']
12091274,Puccini for Beginners,2007,['Comedy']
856733,A Shot in the Dark,1964,['Comedy']
1854612,Casper: A Spirited Beginning,1997,['Comedy']
20611297,Pink Blue Plate,nan,['Comedy']
9215946,Movie Movie,1978,['Comedy']
18141105,Get Smart's Bruce & Lloyd Out of Control,2008,['Comedy']
7014201,Ernest Goes to School,1994,['Comedy']
7752732,The Comebacks,2007,['Comedy']
3210963,Slapstick of Another Kind,1984,['Comedy']
20694087,Kanden Kadhalai,2009,['Comedy']
23435357,Do Knot Disturb,2009,['Comedy']
16791637,Love at Stake,1988,['Comedy']
1641416,A Wild Hare,1940,['Comedy']
3917873,Chitty Chitty Bang Bang,1968,['Comedy']
1941497,Kin-Dza-Dza,1986,['Comedy']
7266768,Meet Wally Sparks,1997,['Comedy']
13184162,"Pane, amore e...",1956,['Comedy']
31348830,Pranchiyettan and The Saint,2011,['Comedy']
25897109,Superfantagenio,1987,['Comedy']
14734420,Pies and Guys,1958,['Comedy']
8763366,Jekyll and Hyde... Together Again,1982,['Comedy']
10142493,Where's That Fire?,1940,['Comedy']
20695060,Pink Suds,1979,['Comedy']
11227773,Wisdom of the Pretzel,2002,['Comedy']
28388755,Nice Guy Johnny,2010,['Comedy']
17807776,The Magic Hour,2008,['Comedy']
26900805,The Chiltern Hundreds,nan,['Comedy']
13726036,Fatty's Plucky Pup,1915,['Comedy']
23346792,Die Jungfrau auf dem Dach,1954,['Comedy']
12868752,Futile Attraction,2005,['Comedy']
7844547,Sleeping Beauties,1999,['Comedy']
5392217,Tere Ghar ke Saamne,1963,['Comedy']
1132138,It's a Very Merry Muppet Christmas Movie,2002,['Comedy']
13457871,Father Came Too!,1964,['Comedy']
5240350,Big Bad Mama,1974,['Comedy']
20138604,Old Sequoia,1945,['Comedy']
13365023,Meu Tio Matou Um Cara,2004,['Comedy']
12677130,Yiddle With His Fiddle,1936,['Comedy']
249406,Holiday Inn,1942,['Comedy']
2295231,A Mom for Christmas,1990,['Comedy']
19160892,No Kidding,1960,['Comedy']
7100124,Daffy Duck Slept Here,1948,['Comedy']
7567438,Soorma Bhopali,nan,['Comedy']
3694061,Carry On Teacher,1959,['Comedy']
5565338,Stroker Ace,1983,['Comedy']
6183212,Towed in a Hole,1932,['Comedy']
6352213,Hare Remover,1946,['Comedy']
24813200,Kisses and Caroms,2006,['Comedy']
934809,Operation Petticoat,1959,['Comedy']
10492496,Dizzy Pilots,nan,['Comedy']
28692419,Dead Lenny,2006,['Comedy']
12395625,Puss 'n' Boats,nan,['Comedy']
21254725,Two Tickets to Paradise,2006,['Comedy']
6057698,A Man Could Get Killed,1966,['Comedy']
1911903,"I Love You, Alice B. Toklas",1968,['Comedy']
21674541,La Florida,1993,['Comedy']
34055313,American Adobo,nan,['Comedy']
1157158,Death to Smoochy,2002,['Comedy']
3028248,Chances Are,1989,['Comedy']
1341543,Dolemite,1974,['Comedy']
9594415,The Cat's-Paw,1934,['Comedy']
5877719,3 Strikes,2000,['Comedy']
3059075,Brain Donors,1992,['Comedy']
142274,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,['Comedy']
508985,Afterglow,1997,['Comedy']
1871167,Welcome to Mooseport,2004,['Comedy']
1472852,Down and Out in Beverly Hills,1986,['Comedy']
418154,Basic Training,1985,['Comedy']
14602109,Aga Bai Arrecha,2004,['Comedy']
11760680,The Last Day of Summer,2007,['Comedy']
6857245,Roman-Legion Hare,1955,['Comedy']
3477618,Once Upon a Girl,1976,['Comedy']
23703779,Mukunthetta Sumitra Vilikkunnu,1988,['Comedy']
1480748,House Party 3,1994,['Comedy']
1480747,House Party 2,1991,['Comedy']
9457642,Man Trouble,1992,['Comedy']
14075290,Zany Adventures of Robin Hood,1984,['Comedy']
1388443,If I Were a Rich Man,2002,['Comedy']
29133141,Flirting with Fate,1916,['Comedy']
19204182,A French Mistress,1961,['Comedy']
19389678,Forgotten Babies,1933,['Comedy']
8219325,Get Smart,2008,['Comedy']
8859517,Maniac Magee,2003,['Comedy']
570743,Down to Earth,2001,['Comedy']
17916020,Chicken and Duck Talk,1988,['Comedy']
256337,Charlie's Angels: Full Throttle,2003,['Comedy']
2780906,Everything's Gone Green,2007,['Comedy']
933349,The Lost Skeleton of Cadavra,2002,['Comedy']
23687966,Wife for a Night,1952,['Comedy']
6581470,Broadway Damage,1997,['Comedy']
3511253,Police Academy 3: Back in Training,1986,['Comedy']
7024876,Hello Dolly!,1969,['Comedy']
7644867,L.A. Without a Map,1998,['Comedy']
22637123,Pippi in the South Seas,1970,['Comedy']
2649865,Man's Favorite Sport?,1964,['Comedy']
2236141,Son of Paleface,1952,['Comedy']
23118238,Come Live with Me,1941,['Comedy']
16855103,Easy Virtue,2008,['Comedy']
3564596,She's On Duty,2005,['Comedy']
26554437,Hall Pass,2011,['Comedy']
19301429,Dog Days,1925,['Comedy']
8417343,Going Greek,2001,['Comedy']
10160801,The Man with the Rubber Head,1902,['Comedy']
6987479,School for Scoundrels,2006,['Comedy']
2292864,Jury Duty,1995,['Comedy']
16949071,Kung Fu Tootsie,2007,['Comedy']
8777711,Now I'll Tell One,1927,['Comedy']
685987,Major League,1989,['Comedy']
8499528,She-Devil,1989,['Comedy']
1663320,Just My Luck,2006,['Comedy']
21099183,The Good Witch's Garden,2009,['Comedy']
1853200,The Fat Spy,1966,['Comedy']
19163688,The Captain's Table,1959,['Comedy']
11035177,The Pizza Triangle,1970,['Comedy']
4605171,Camp Nowhere,1994,['Comedy']
